1,7,3,4,5,6,2,8,9,9,6,1,5,8,2,4,7,3,7,9,2,8,4,3,5,6,1,5,4,8,6,7,1,3,9,2,9,7,1,2,3,5,8,4,6,6,3,5,7,2,8,9,1,4,5,2,4,1,9,7,6,3,8,9,8,7,3,6,4,1,2,5,4,3,5,6,1,9,2,8,7,9,8,2,1,4,6,7,5,3,4,5,3,8,7,1,2,6,9,5,6,1,7,8,3,4,9,2,3,7,2,1,9,5,8,4,6,4,9,2,6,7,3,8,5,1,5,2,3,8,1,9,6,7,4,4,6,3,1,2,5,7,9,8,8,1,7,6,9,4,2,3,5,3,8,2,9,6,7,5,4,1,6,4,9,8,5,1,3,2,7,5,2,3,4,8,9,1,7,6,8,9,7,6,5,4,2,1,3,9,1,4,7,5,3,6,8,2,1,6,9,7,5,2,3,4,8,2,3,5,6,7,4,1,8,9,7,8,2,5,4,6,3,1,9,3,1,4,8,9,6,2,5,7,4,5,6,9,1,3,2,8,7,6,7,3,2,9,8,4,5,1,5,9,8,3,2,1,6,4,7,8,2,1,6,7,4,5,9,3,9,6,7,8,5,1,3,2,4,1,4,9,7,3,2,5,6,8,2,3,5,1,4,9,7,6,8,7,8,2,4,6,5,1,9,3,
---
Solution [travelDistance=254155, homeVisitViolations=0, consecutiveHomeVisitViolations=0, consecutiveTeamSeenViolations=0]
-1--2--3--4--5--6--7--8--9-
 [10, 9]  [16, 3]  [12, 7]  [13, 6]  [14, 5]  [15, 4]  [11, 8]  [17, 2]  [18, 1] 
 [8, 4]  [7, 2]  [5, 3]  [17, 10]  [15, 13]  [18, 9]  [6, 1]  [16, 11]  [12, 14] 
 [18, 17]  [6, 3]  [14, 11]  [4, 2]  [16, 9]  [10, 7]  [13, 12]  [15, 8]  [5, 1] 
 [11, 6]  [4, 1]  [8, 7]  [18, 14]  [2, 3]  [16, 12]  [17, 15]  [9, 5]  [13, 10] 
 [9, 7]  [11, 10]  [6, 4]  [3, 1]  [12, 17]  [5, 2]  [14, 8]  [18, 13]  [16, 15] 
 [4, 3]  [13, 9]  [17, 16]  [12, 10]  [18, 15]  [8, 6]  [7, 5]  [2, 1]  [11, 14] 
 [17, 18]  [5, 6]  [1, 2]  [15, 16]  [14, 13]  [9, 10]  [12, 11]  [3, 4]  [7, 8] 
 [10, 11]  [14, 12]  [13, 15]  [2, 5]  [8, 9]  [1, 3]  [16, 17]  [6, 7]  [4, 18] 
 [13, 16]  [2, 7]  [3, 5]  [6, 9]  [1, 4]  [17, 14]  [15, 18]  [8, 11]  [10, 12] 
 [14, 15]  [10, 13]  [16, 18]  [8, 12]  [6, 11]  [4, 7]  [3, 9]  [1, 5]  [2, 17] 
 [3, 2]  [15, 17]  [9, 14]  [4, 11]  [7, 10]  [12, 16]  [5, 8]  [13, 18]  [1, 6] 
 [1, 7]  [6, 12]  [8, 13]  [10, 15]  [5, 9]  [2, 18]  [4, 16]  [14, 17]  [3, 11] 
 [9, 17]  [1, 8]  [2, 4]  [7, 14]  [3, 13]  [5, 15]  [6, 10]  [11, 16]  [12, 18] 
 [8, 15]  [3, 18]  [7, 11]  [5, 12]  [4, 17]  [6, 13]  [1, 9]  [2, 10]  [14, 16] 
 [2, 12]  [9, 16]  [1, 10]  [3, 6]  [11, 18]  [8, 14]  [13, 17]  [5, 4]  [7, 15] 
 [5, 16]  [7, 13]  [6, 15]  [1, 11]  [2, 8]  [3, 17]  [14, 18]  [9, 12]  [4, 10] 
 [11, 13]  [4, 8]  [3, 16]  [9, 15]  [10, 14]  [1, 12]  [2, 6]  [7, 17]  [5, 18] 
 [6, 17]  [5, 14]  [4, 12]  [8, 16]  [1, 13]  [7, 18]  [11, 15]  [3, 10]  [2, 9] 
 [3, 12]  [2, 11]  [9, 13]  [6, 18]  [7, 16]  [4, 15]  [5, 10]  [1, 14]  [8, 17] 
 [7, 9]  [10, 16]  [8, 18]  [11, 12]  [5, 17]  [2, 13]  [3, 14]  [4, 6]  [1, 15] 
 [1, 16]  [6, 8]  [5, 11]  [2, 14]  [9, 18]  [10, 17]  [4, 13]  [12, 15]  [3, 7] 
 [4, 14]  [1, 17]  [2, 15]  [5, 13]  [3, 8]  [9, 11]  [7, 12]  [10, 18]  [6, 16] 
 [8, 10]  [3, 15]  [12, 13]  [4, 9]  [6, 14]  [5, 7]  [1, 18]  [2, 16]  [11, 17] 
------------------


