8,7,3,4,5,6,1,2,9,9,6,1,5,8,2,4,7,3,7,5,2,3,4,9,8,6,1,5,1,8,6,7,4,3,9,2,7,5,9,2,3,8,6,1,4,4,8,9,7,6,1,2,3,5,3,8,6,1,2,5,9,4,7,2,4,7,9,5,3,1,8,6,7,8,9,4,1,6,5,2,3,2,6,3,1,4,9,7,5,8,8,1,5,7,2,3,4,6,9,6,8,5,9,3,7,4,1,2,5,6,1,7,2,8,3,9,4,9,4,1,3,5,8,2,6,7,3,1,9,2,7,6,8,4,5,2,8,4,7,5,1,6,9,3,7,5,6,8,3,4,9,2,1,5,7,1,2,8,9,4,3,6,6,9,2,5,3,1,8,7,4,9,1,3,6,5,2,7,4,8,8,2,9,3,7,4,6,5,1,3,8,4,7,9,2,6,5,1,4,6,2,8,5,1,9,7,3,2,7,1,9,4,8,6,5,3,1,3,4,5,2,8,7,6,9,5,9,6,4,1,7,3,8,2,9,8,7,6,1,5,3,4,2,6,2,5,9,3,4,7,8,1,8,1,9,7,6,3,5,4,2,4,6,3,8,5,7,9,1,2,3,5,1,4,7,8,2,6,9,7,3,2,1,8,9,6,4,5,2,4,6,5,9,8,7,1,3,5,9,7,2,1,6,8,3,4,
---
Solution [travelDistance=217502, homeVisitViolations=0, consecutiveHomeVisitViolations=0, consecutiveTeamSeenViolations=0]
-1--2--3--4--5--6--7--8--9-
 [16, 3]  [17, 2]  [12, 7]  [13, 6]  [14, 5]  [15, 4]  [11, 8]  [10, 9]  [18, 1] 
 [18, 15]  [17, 16]  [11, 14]  [12, 10]  [4, 3]  [7, 5]  [2, 1]  [8, 6]  [13, 9] 
 [5, 6]  [7, 8]  [15, 16]  [14, 13]  [1, 2]  [17, 18]  [3, 4]  [9, 10]  [12, 11] 
 [10, 11]  [4, 18]  [8, 9]  [16, 17]  [6, 7]  [1, 3]  [14, 12]  [13, 15]  [2, 5] 
 [2, 7]  [10, 12]  [3, 5]  [15, 18]  [8, 11]  [6, 9]  [13, 16]  [17, 14]  [1, 4] 
 [16, 18]  [2, 17]  [4, 7]  [8, 12]  [14, 15]  [10, 13]  [6, 11]  [1, 5]  [3, 9] 
 [15, 17]  [9, 14]  [1, 6]  [4, 11]  [13, 18]  [12, 16]  [5, 8]  [3, 2]  [7, 10] 
 [6, 12]  [3, 11]  [14, 17]  [1, 7]  [5, 9]  [2, 18]  [10, 15]  [4, 16]  [8, 13] 
 [3, 13]  [1, 8]  [12, 18]  [6, 10]  [11, 16]  [9, 17]  [2, 4]  [7, 14]  [5, 15] 
 [1, 9]  [5, 12]  [2, 10]  [3, 18]  [4, 17]  [8, 15]  [7, 11]  [6, 13]  [14, 16] 
 [7, 15]  [13, 17]  [9, 16]  [5, 4]  [1, 10]  [3, 6]  [8, 14]  [11, 18]  [2, 12] 
 [5, 16]  [14, 18]  [7, 13]  [9, 12]  [6, 15]  [4, 10]  [3, 17]  [2, 8]  [1, 11] 
 [11, 13]  [2, 6]  [5, 18]  [7, 17]  [3, 16]  [1, 12]  [9, 15]  [10, 14]  [4, 8] 
 [2, 9]  [11, 15]  [6, 17]  [8, 16]  [7, 18]  [5, 14]  [4, 12]  [1, 13]  [3, 10] 
 [8, 17]  [9, 13]  [3, 12]  [1, 14]  [5, 10]  [2, 11]  [6, 18]  [4, 15]  [7, 16] 
 [3, 14]  [8, 18]  [1, 15]  [4, 6]  [2, 13]  [10, 16]  [5, 17]  [7, 9]  [11, 12] 
 [4, 13]  [3, 7]  [2, 14]  [10, 17]  [12, 15]  [9, 18]  [1, 16]  [5, 11]  [6, 8] 
 [9, 11]  [1, 17]  [10, 18]  [2, 15]  [4, 14]  [3, 8]  [7, 12]  [6, 16]  [5, 13] 
 [5, 7]  [4, 9]  [11, 17]  [12, 13]  [1, 18]  [6, 14]  [3, 15]  [8, 10]  [2, 16] 
------------------


