1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,3,12,4,1,7,8,14,6,10,11,9,2,16,5,13,15,9,13,14,3,6,16,1,7,4,2,10,11,15,8,5,12,14,11,7,9,10,15,16,1,3,4,2,13,12,6,8,5,16,6,2,7,15,12,9,10,14,3,13,4,5,1,11,8,3,4,16,2,12,5,10,15,7,14,1,9,8,13,6,11,2,9,10,16,13,8,15,5,1,7,3,14,11,12,4,6,12,7,9,6,5,11,2,13,10,16,15,3,1,8,14,4,8,4,11,6,1,13,12,2,15,10,16,5,9,3,7,14,13,4,7,2,9,15,3,12,16,5,10,8,14,6,11,1,16,4,15,5,12,11,14,3,6,8,13,10,7,2,1,9,1,15,10,6,14,3,5,11,8,13,12,16,2,4,9,7,16,7,6,8,13,11,4,15,5,12,1,9,3,14,10,2,6,12,15,2,10,13,16,8,4,9,1,14,5,11,7,3,9,14,3,7,13,12,8,16,15,1,6,2,4,10,11,5,2,5,12,14,1,15,10,8,13,6,9,7,11,16,3,4,5,4,9,3,12,1,8,2,16,7,13,6,10,15,14,11,14,1,11,9,13,16,6,2,15,12,7,4,8,3,5,10,11,10,16,14,13,6,2,1,9,3,4,15,5,7,12,8,15,16,12,7,8,6,11,3,2,13,4,5,14,9,10,1,3,6,4,11,10,8,9,12,13,2,15,5,7,1,16,14,5,15,2,13,16,4,1,3,10,6,7,11,9,8,14,12,3,7,15,1,12,14,13,5,10,11,2,8,6,16,4,9,5,11,10,1,14,12,7,4,3,8,6,2,13,15,9,16,4,16,3,9,6,2,11,5,15,10,1,14,8,12,7,13,10,4,11,14,9,15,7,8,16,5,6,1,12,3,13,2,16,14,10,15,3,2,12,1,11,13,4,9,5,8,6,7,11,15,14,9,1,12,6,8,10,4,7,13,16,5,2,3,10,4,15,13,5,2,3,16,7,14,11,9,1,6,12,8,9,13,16,5,1,8,12,15,10,3,2,7,11,4,14,6,8,1,4,7,11,16,6,10,13,2,3,15,9,12,5,14,1,2,11,7,4,15,5,3,6,13,12,9,10,8,14,16,7,15,13,2,12,8,16,11,4,5,1,10,9,6,3,14,4,13,8,2,1,6,3,14,16,7,9,12,10,5,15,11,2,5,10,8,1,12,13,9,7,15,4,14,16,11,3,6,8,6,4,7,1,5,11,15,10,2,3,14,16,12,13,9,3,14,2,11,7,16,6,13,10,15,8,1,4,5,12,9,5,12,6,11,14,4,15,1,10,13,2,7,8,9,16,3,16,15,11,5,8,12,3,6,1,2,14,9,7,13,4,10,14,10,9,16,12,2,7,3,1,11,5,13,8,4,15,6,11,4,7,14,13,9,5,12,6,2,15,16,8,3,10,1,9,13,5,2,16,3,7,10,15,8,4,11,14,12,6,1,2,1,12,11,6,5,9,8,4,13,7,15,16,14,3,10,12,3,15,9,8,11,5,6,10,4,13,7,1,2,14,16,15,10,16,7,3,8,2,6,5,4,14,13,1,9,11,12,7,4,9,15,5,12,11,2,3,10,13,1,14,16,6,8,6,2,7,16,14,12,15,9,11,4,5,3,1,10,8,13,16,12,8,6,11,13,9,7,10,14,4,2,5,1,3,15,9,14,6,8,7,10,13,1,4,11,12,3,5,15,2,16,15,16,1,10,13,9,8,6,7,11,14,3,2,12,5,4,1,11,4,15,9,14,6,13,2,16,7,5,12,8,10,3,11,8,13,1,2,4,15,14,3,7,9,16,12,5,10,6,10,7,15,11,3,13,4,14,9,2,8,5,12,6,16,1,4,9,11,6,14,10,1,3,15,2,12,7,16,8,5,13,6,2,3,4,10,1,12,11,13,14,15,9,8,5,7,16,3,14,6,12,13,11,10,1,7,2,15,16,8,9,4,5,13,10,8,3,7,4,11,6,1,16,14,5,2,9,15,12,11,16,4,13,1,12,3,8,6,10,7,15,9,5,14,2,4,3,1,11,6,8,13,12,2,7,10,16,5,14,9,15,1,7,11,4,10,13,8,2,12,6,9,3,14,15,5,16,8,6,13,1,12,2,4,11,10,9,16,7,3,5,14,15,13,9,12,8,7,11,2,10,14,16,5,6,15,3,1,4,
---
Solution [travelDistance=491075, homeVisitViolations=0, consecutiveHomeVisitViolations=0, consecutiveTeamSeenViolations=0]
-1--2--3--4--5--6--7--8--9--10--11--12--13--14--15--16-
 [17, 16]  [18, 15]  [19, 14]  [20, 13]  [21, 12]  [22, 11]  [23, 10]  [24, 9]  [25, 8]  [26, 7]  [27, 6]  [28, 5]  [29, 4]  [30, 3]  [31, 2]  [32, 1] 
 [29, 18]  [25, 19]  [5, 17]  [11, 2]  [27, 30]  [7, 4]  [28, 22]  [14, 6]  [15, 8]  [13, 3]  [12, 1]  [16, 10]  [21, 9]  [32, 23]  [26, 24]  [31, 20] 
 [16, 4]  [11, 1]  [21, 20]  [15, 5]  [9, 2]  [25, 18]  [26, 23]  [30, 12]  [29, 28]  [22, 7]  [27, 19]  [32, 24]  [13, 6]  [31, 17]  [10, 3]  [14, 8] 
 [12, 6]  [26, 18]  [9, 3]  [30, 20]  [17, 7]  [28, 31]  [10, 1]  [27, 22]  [32, 14]  [24, 19]  [25, 23]  [13, 5]  [16, 8]  [15, 2]  [11, 4]  [29, 21] 
 [10, 2]  [28, 13]  [25, 22]  [24, 14]  [6, 8]  [27, 23]  [18, 12]  [26, 21]  [31, 16]  [9, 1]  [7, 3]  [15, 4]  [29, 20]  [11, 5]  [30, 17]  [32, 19] 
 [26, 25]  [16, 12]  [8, 1]  [3, 6]  [19, 11]  [10, 5]  [31, 29]  [28, 24]  [9, 4]  [23, 18]  [17, 13]  [30, 21]  [32, 15]  [27, 20]  [22, 14]  [7, 2] 
 [28, 23]  [32, 27]  [30, 19]  [7, 1]  [25, 21]  [26, 17]  [16, 13]  [18, 14]  [11, 3]  [6, 2]  [8, 5]  [29, 22]  [31, 24]  [10, 4]  [15, 12]  [20, 9] 
 [18, 9]  [14, 10]  [13, 12]  [23, 15]  [27, 26]  [30, 24]  [32, 28]  [29, 31]  [25, 17]  [7, 5]  [20, 19]  [16, 11]  [22, 21]  [6, 1]  [8, 2]  [4, 3] 
 [12, 13]  [31, 30]  [32, 29]  [21, 18]  [28, 20]  [15, 11]  [22, 24]  [16, 7]  [10, 6]  [19, 26]  [4, 2]  [14, 9]  [23, 17]  [8, 3]  [5, 1]  [27, 25] 
 [27, 16]  [13, 9]  [14, 11]  [5, 2]  [12, 7]  [29, 23]  [21, 15]  [32, 30]  [26, 20]  [4, 1]  [25, 24]  [31, 28]  [8, 10]  [22, 18]  [6, 3]  [19, 17] 
 [11, 7]  [22, 16]  [21, 25]  [27, 24]  [10, 8]  [32, 31]  [23, 19]  [12, 9]  [2, 4]  [20, 18]  [26, 29]  [15, 13]  [3, 1]  [30, 28]  [17, 14]  [6, 5] 
 [5, 3]  [23, 21]  [24, 16]  [6, 7]  [31, 22]  [14, 12]  [8, 4]  [2, 1]  [27, 28]  [17, 15]  [9, 10]  [30, 29]  [19, 18]  [32, 26]  [25, 20]  [13, 11] 
 [1, 2]  [3, 4]  [15, 17]  [8, 9]  [13, 14]  [18, 19]  [7, 12]  [26, 28]  [22, 30]  [23, 25]  [5, 6]  [21, 24]  [20, 16]  [29, 27]  [10, 11]  [31, 32] 
 [20, 21]  [8, 7]  [30, 32]  [17, 26]  [18, 29]  [28, 27]  [1, 3]  [10, 13]  [24, 25]  [22, 19]  [15, 16]  [9, 11]  [4, 6]  [31, 23]  [2, 5]  [12, 14] 
 [8, 12]  [6, 9]  [11, 13]  [1, 4]  [26, 27]  [10, 15]  [20, 25]  [3, 5]  [21, 19]  [24, 32]  [30, 31]  [23, 22]  [2, 7]  [14, 16]  [28, 29]  [18, 17] 
 [6, 11]  [1, 5]  [25, 27]  [20, 24]  [2, 12]  [26, 32]  [17, 19]  [4, 7]  [16, 15]  [3, 9]  [23, 28]  [8, 13]  [10, 14]  [21, 30]  [18, 31]  [22, 29] 
 [5, 7]  [17, 18]  [19, 24]  [3, 13]  [10, 21]  [2, 8]  [4, 9]  [1, 6]  [31, 26]  [16, 20]  [11, 12]  [25, 29]  [28, 30]  [22, 32]  [14, 15]  [23, 27] 
 [22, 27]  [4, 10]  [1, 7]  [23, 32]  [25, 28]  [11, 19]  [6, 13]  [17, 20]  [29, 30]  [14, 18]  [5, 9]  [26, 31]  [12, 15]  [3, 2]  [16, 24]  [8, 21] 
 [13, 16]  [20, 28]  [30, 26]  [9, 14]  [1, 8]  [5, 4]  [21, 27]  [23, 29]  [24, 17]  [15, 19]  [6, 10]  [2, 3]  [18, 22]  [7, 11]  [12, 32]  [25, 31] 
 [18, 30]  [19, 29]  [11, 16]  [27, 31]  [4, 5]  [13, 15]  [24, 23]  [8, 14]  [21, 22]  [28, 32]  [3, 7]  [10, 12]  [25, 26]  [20, 17]  [2, 6]  [1, 9] 
 [14, 19]  [7, 6]  [9, 12]  [26, 30]  [20, 27]  [29, 32]  [8, 16]  [24, 31]  [3, 11]  [2, 13]  [17, 22]  [5, 18]  [21, 23]  [1, 10]  [28, 25]  [4, 15] 
 [29, 26]  [17, 24]  [22, 23]  [2, 10]  [7, 13]  [16, 31]  [3, 12]  [21, 28]  [6, 32]  [25, 30]  [1, 11]  [9, 15]  [5, 8]  [4, 14]  [18, 20]  [19, 27] 
 [27, 32]  [4, 8]  [6, 17]  [18, 25]  [3, 14]  [24, 28]  [7, 31]  [15, 22]  [1, 12]  [10, 16]  [20, 29]  [23, 30]  [2, 9]  [21, 26]  [13, 19]  [5, 11] 
 [2, 11]  [1, 13]  [25, 32]  [14, 17]  [6, 16]  [5, 10]  [19, 21]  [9, 18]  [7, 28]  [27, 29]  [4, 12]  [3, 8]  [15, 20]  [24, 30]  [22, 26]  [23, 31] 
 [18, 28]  [19, 23]  [2, 15]  [13, 20]  [8, 32]  [9, 6]  [17, 30]  [5, 12]  [4, 29]  [11, 21]  [7, 10]  [1, 14]  [16, 25]  [22, 31]  [3, 27]  [24, 26] 
 [16, 23]  [7, 27]  [5, 24]  [12, 28]  [9, 25]  [8, 29]  [4, 11]  [6, 30]  [17, 21]  [2, 22]  [19, 31]  [20, 32]  [14, 26]  [13, 18]  [1, 15]  [3, 10] 
 [14, 22]  [10, 32]  [11, 27]  [2, 26]  [5, 31]  [20, 23]  [1, 16]  [24, 29]  [3, 18]  [12, 19]  [8, 6]  [7, 9]  [13, 21]  [15, 28]  [4, 30]  [17, 25] 
 [13, 29]  [2, 14]  [12, 30]  [10, 31]  [11, 28]  [1, 17]  [3, 23]  [21, 32]  [8, 26]  [15, 18]  [9, 22]  [6, 25]  [24, 27]  [5, 20]  [7, 16]  [4, 19] 
 [15, 27]  [12, 25]  [16, 21]  [11, 30]  [14, 29]  [4, 28]  [8, 22]  [3, 26]  [7, 20]  [9, 23]  [5, 13]  [2, 17]  [6, 31]  [10, 24]  [19, 32]  [1, 18] 
 [8, 24]  [18, 26]  [13, 25]  [9, 32]  [16, 22]  [3, 15]  [5, 14]  [4, 31]  [1, 19]  [6, 21]  [11, 29]  [12, 10]  [7, 23]  [2, 27]  [17, 28]  [20, 30] 
 [3, 32]  [15, 23]  [14, 24]  [21, 29]  [18, 27]  [8, 25]  [9, 17]  [7, 30]  [6, 12]  [4, 13]  [10, 19]  [16, 26]  [5, 28]  [11, 22]  [1, 20]  [2, 31] 
 [1, 21]  [9, 13]  [22, 28]  [3, 16]  [12, 17]  [7, 26]  [11, 24]  [19, 25]  [5, 29]  [20, 31]  [2, 32]  [14, 27]  [8, 30]  [6, 15]  [4, 18]  [10, 23] 
 [4, 23]  [5, 16]  [9, 27]  [6, 26]  [15, 25]  [19, 30]  [10, 29]  [2, 18]  [11, 31]  [17, 32]  [1, 22]  [13, 24]  [3, 20]  [8, 28]  [7, 14]  [12, 21] 
 [19, 28]  [11, 8]  [5, 32]  [7, 22]  [13, 31]  [17, 29]  [2, 16]  [12, 26]  [10, 25]  [1, 23]  [4, 27]  [15, 30]  [6, 14]  [9, 20]  [3, 21]  [18, 24] 
 [7, 15]  [10, 30]  [8, 18]  [1, 24]  [16, 29]  [4, 20]  [12, 23]  [14, 32]  [2, 19]  [6, 22]  [3, 17]  [11, 25]  [21, 31]  [5, 26]  [9, 28]  [13, 27] 
 [6, 18]  [2, 20]  [3, 24]  [4, 21]  [14, 23]  [1, 25]  [15, 32]  [13, 17]  [12, 27]  [5, 30]  [8, 31]  [7, 19]  [9, 29]  [10, 22]  [11, 26]  [16, 28] 
 [8, 11]  [12, 29]  [1, 26]  [17, 27]  [18, 21]  [3, 28]  [9, 19]  [15, 31]  [16, 30]  [7, 24]  [6, 23]  [4, 32]  [5, 22]  [2, 25]  [13, 10]  [14, 20] 
 [9, 16]  [13, 32]  [4, 22]  [6, 19]  [12, 24]  [8, 23]  [5, 21]  [3, 30]  [14, 31]  [2, 28]  [7, 25]  [20, 26]  [1, 27]  [11, 18]  [15, 29]  [10, 17] 
 [5, 27]  [22, 25]  [7, 29]  [3, 31]  [15, 26]  [9, 30]  [11, 14]  [8, 19]  [13, 23]  [10, 18]  [1, 28]  [6, 24]  [4, 17]  [16, 32]  [12, 20]  [2, 21] 
 [3, 25]  [9, 31]  [2, 23]  [1, 29]  [13, 28]  [5, 19]  [10, 26]  [6, 20]  [15, 24]  [11, 17]  [4, 16]  [8, 27]  [7, 21]  [14, 30]  [18, 32]  [12, 22] 
 [1, 30]  [8, 15]  [12, 31]  [4, 26]  [16, 27]  [10, 20]  [2, 24]  [7, 17]  [11, 32]  [5, 25]  [3, 19]  [9, 21]  [6, 29]  [13, 22]  [14, 28]  [18, 23] 
 [4, 24]  [6, 28]  [13, 30]  [7, 32]  [14, 25]  [2, 29]  [12, 18]  [1, 31]  [10, 27]  [9, 26]  [8, 17]  [5, 23]  [3, 22]  [15, 21]  [16, 19]  [11, 20] 
 [17, 31]  [7, 18]  [14, 21]  [19, 22]  [11, 23]  [12, 16]  [5, 15]  [4, 25]  [2, 30]  [8, 20]  [6, 27]  [3, 29]  [1, 32]  [9, 24]  [13, 26]  [10, 28] 
--------------------------------


